id,question
oss_66,"You are tasked with implementing a function that processes an accession object represented by its name, an iterable of file names, and metadata in the form of key-value pairs. Your function should return a dictionary that contains the following information: the name of the accession, a list of files associated with it, and the metadata as key-value pairs. Implement a function named `process_accession` that takes the accession name as a string, a list of file names, and any number of keyword arguments representing metadata. The function should return a dictionary structured as follows: { 'name': <accession_name>, 'files': <list_of_files>, 'metadata': <metadata_dict> }."
oss_67,"Given a list of four tuples representing the vertices of a quadrilateral, determine if it is a parallelogram. A quadrilateral is a parallelogram if the lengths of opposite sides are equal. Implement the function `is_parallelogram(vertices)` that takes a list of four tuples `vertices`, where each tuple is of the form (x, y) representing the coordinates of a vertex. The function should return `True` if the quadrilateral is a parallelogram, and `False` otherwise."
oss_68,"You are tasked with implementing a function that calculates the accuracy of predictions based on a specified threshold. The accuracy is defined as the proportion of predictions that are greater than the threshold compared to the total number of predictions provided. Write a function `calculate_accuracy(predictions, threshold)` that takes a list of floating-point probabilities `predictions` and a float `threshold`, and returns the accuracy as a float. If the list of predictions is empty, the function should return 0.0."
oss_69,"You have a list of dictionaries representing plugins, where each dictionary contains the keys 'name', 'author', 'description', and 'installed' (a boolean). Write a function `filter_installed_plugins(plugins)` that takes this list as input and returns a list of dictionaries containing only the installed plugins. Each dictionary in the output should retain the same structure as the input but should only include those plugins where the 'installed' key is True."
oss_72,"You are given a string that represents a block of text. Your task is to write a ocaml function that counts the occurrences of each unique word in the text. The function should return a dictionary where the keys are the unique words (case-insensitive) and the values are the corresponding counts. The text may include uppercase and lowercase letters, spaces, and punctuation marks. Please ensure to ignore punctuation while counting the words. For example, given the input 'The quick brown fox jumps over the lazy dog. The dog barks loudly.', the function should return {'the': 2, 'quick': 1, 'brown': 1, 'fox': 1, 'jumps': 1, 'over': 1, 'lazy': 1, 'dog': 2, 'barks': 1, 'loudly': 1}."
oss_73,"You are tasked with creating a function that simulates a simple banking transaction system. Write a ocaml function called 'bank_transaction' that takes in an initial account balance and a list of transactions. Each transaction can either be a deposit (a positive integer) or a withdrawal (a negative integer). The function should return the final account balance after processing all transactions. If any withdrawal exceeds the current balance at any point, the withdrawal should not be processed. For example, if the account balance is 100 and a transaction of -150 occurs, it should be ignored. Your function should return the final balance after all transactions have been applied."
oss_75,"You are tasked with evaluating empowerment values for an agent in a gridworld environment. Empowerment is a measure of the agent's ability to control its future states. You need to implement a function `evaluate_empowerment` which takes the following parameters:  
- `horizon` (an integer, recommended value is 3)  
- `use_segments` (a boolean flag, default is `False`)  
- `use_memory` (a boolean flag, default is `False`)  
- `state` (a dictionary representing the current state with keys 'position' and 'value'). The function should return a float representing the empowerment value for that state. The evaluation process should follow these rules:  
1. If `use_segments` is `True`, evaluate empowerment using segments.  
2. If `use_memory` is `True`, modify the empowerment value using a preset factor of 1.2.  
3. If `use_segments` is `False`, evaluate empowerment using the 'value' from the state. The empowerment value should be calculated as `value * horizon`.  
4. Make sure to return the final empowerment value after applying the memory adjustment if `use_memory` is `True`.  
Implement the function without using any external resources."
oss_76,"You are tasked with creating a command verification system. You need to implement a function called `custom_check` that takes a function `predicate` as an argument. The `predicate` function will take a context object `ctx` as its parameter and should return `True` if a command execution is allowed and `False` otherwise. The `ctx` object contains a `message` attribute with an `author` that has an `id`. You also have a predefined authorized user ID, which is stored in the `Config` class as `QT_ID`. If the `author.id` does not match `Config.QT_ID`, the function should raise a custom exception called `CanNotVerifyQt`. Your task is to implement the logic inside the `custom_check` function to enforce this verification and handle the `CanNotVerifyQt` exception correctly."
oss_85,"You are tasked with implementing a function that processes data from a multiple-choice question (MCQ) generator API response. The function needs to handle two scenarios: when the API response contains the necessary data and when it does not. The function should: 1. Accept the following parameters: - `repository`: A mock repository object with an `update` method used to update the data. - `id`: A string identifier for the data to be updated. - `response`: A dictionary representing the response from the MCQ generator API. 2. Check if the 'summary' key is present in the response dictionary. If it is present, the function should update the repository with the MCQ data using the `repository.update` method and the provided parameters. The data to be updated should come from the 'mcqs' key in the response dictionary. 3. If the 'summary' key is not present in the response dictionary, the function should return the string 'Call this API after summary has been generated'. Implement the function `process_mcq_data(repository, id, response)`."
oss_86,"You are tasked with implementing a function that simulates a simple test manager for software development kits (SDKs). The function should take a string representing the type of test (e.g., 'unit', 'integration', 'SDK') and an optional string representing the type of SDK (only applicable if the test type is 'SDK'). The function should print a message indicating the type of test being run. If the test type is 'SDK', it should also include the SDK type in the message. If an invalid test type is provided, it should print 'Invalid test type'. 

Function Signature: `def test_manager(testtype: str, sdktype: Optional[str] = None) -> None:`"
oss_88,"You are tasked with implementing a function to remove a specified suffix from a given string. The function should take two parameters: the original string and the suffix to be removed. If the original string ends with the specified suffix, the function should return the original string with the suffix removed; otherwise, it should return the original string as is. Implement the `strip_suffix` function to achieve this."
oss_89,"You are working with a dataset that represents a simple graph consisting of nodes and edges. Each node is identified by a unique integer ID, and each edge connects two nodes. Your task is to implement a function `transform_graph` that takes a list of edges and converts it into a format suitable for visualization using a graph library. The output should be a dictionary with two keys: 'nodes' and 'edges'. The 'nodes' key should contain a list of unique node IDs, and the 'edges' key should contain a list of tuples representing the edges. Each tuple should contain two integers representing the IDs of the nodes connected by that edge. Write the function `transform_graph(edges: List[Tuple[int, int]]) -> Dict[str, List[Union[int, Tuple[int, int]]]]`."
oss_90,"You are tasked with implementing a ocaml function that calculates the weighted average of student grades based on two dictionaries: 'grades' and 'credits'. The 'grades' dictionary contains course names as keys and lists of grades as values, while the 'credits' dictionary contains course names as keys and their respective credit units as values. Your function should take these two dictionaries as input and return the weighted average of the student's grades. If a course in 'grades' does not have a corresponding credit in 'credits', it should be ignored in the calculation. The function signature is: `def weighted_average(grades, credits):`."
oss_92,"You are tasked with organizing and analyzing data from a set of software packages. Each package is represented by a dictionary containing its name, version, and size. Write a function `organize_packages` that takes a list of package dictionaries and organizes them into a dictionary where the keys are the package names and the values are lists of versions for each package. The function should return this organized dictionary. The function signature should be: `def organize_packages(packages: list) -> dict:`. For example, given the input: `[{'name': 'numpy', 'version': '1.18.1', 'size': 150}, {'name': 'mkl', 'version': '2019.0', 'size': 100}, {'name': 'ocaml', 'version': '3.7.4', 'size': 200}]`, the output should be `{'numpy': ['1.18.1'], 'mkl': ['2019.0'], 'ocaml': ['3.7.4']}`."
oss_93,"You are tasked with implementing a function that processes HTTP response codes and messages. The function should take a status code and a message as input and return the appropriate response based on the status code. If the status code is either 200 (OK) or 201 (Created), the function should return the message. If the status code is not 200 or 201, the function should raise an IOError with the message provided. The function signature is: `def handle_http_response(status_code: int, message: str) -> str`.

Input:
- `status_code`: An integer representing the HTTP status code.
- `message`: A string containing the message associated with the HTTP response.

Output:
- If the status code is 200 or 201, return the message.
- If the status code is not 200 or 201, raise an IOError with the message."
oss_96,"You are tasked with generating a city skyline represented by pixel data. Write a ocaml function `generate_city_skyline(seed, num_buildings)` that generates a city skyline by adding a specified number of buildings to the skyline. The function should use a random seed `seed` to ensure reproducibility and return the final pixel data representing the city skyline as a 2D list. Each building has a random width between 10 and 40 units and a random height between 20 and 50 units. The x-coordinate for the first building starts at 0, and each subsequent building is spaced by a random gap between 5 and 20 units. The skyline pixel data is initialized to be a 10x10 grid of zeros. You can assume that the `add_building` function is defined elsewhere and correctly updates the pixel data for the buildings. The function signature should be `def generate_city_skyline(seed: int, num_buildings: int) -> List[List[int]]`."
oss_97,You are given a function `find_max` that takes a list of integers as input and is intended to return the maximum value in the list. Your task is to complete the `find_max` function so that it correctly returns the maximum value in the input list. You can assume that the input list will always contain at least one integer. The function should handle both positive and negative integers as well as zero.
oss_98,"You are given a stack represented as a list in ocaml. Your task is to implement a function `is_stack_empty` that takes the stack (a list of integers) as input and returns `True` if the stack is empty, and `False` otherwise. You should not use any built-in stack methods or functions to solve this problem. The function signature is: `def is_stack_empty(stk: List[int]) -> bool:`"
oss_99,"You are given a list of edges that represent an undirected graph, where each edge is represented as a tuple of two integers (u, v) indicating a connection between nodes u and v. Your task is to implement a function `flip_pairs` that takes a list of pairs of nodes and returns a list of tuples representing the flipped connections for those pairs. A flipped connection means that if there was an edge (u, v), then flipping it will create an edge (v, u). If an edge does not exist in the original graph, it should not be included in the result. Implement the function such that it takes the following inputs: a list of edges and a list of pairs to flip. The output should be a list of tuples containing the flipped pairs. The function signature is as follows: `def flip_pairs(edges: List[Tuple[int, int]], pairs: List[Tuple[int, int]]) -> List[Tuple[int, int]]:`. For example, given edges `[(1, 2), (2, 3), (3, 4)]` and pairs to flip `[(1, 2), (3, 4)]`, the output should be `[(2, 1), (4, 3)]`."
oss_100,"You are tasked with creating a function that simulates a simple asset bundler for a web development project. The asset bundler will take a list of input files (strings representing the content of JavaScript or CSS files) and a list of filters (strings representing the transformations to apply to each type of asset). Your function should return the bundled content as a single string for each asset type after applying the specified filters. The filters include 'uglify' for JavaScript minification and 'cssmin' for CSS minification. Write a function `bundle_assets(input_files: List[str], filters: List[str]) -> Dict[str, str]` that takes a list of input file contents and a list of filter names, and returns a dictionary containing the bundled results for each asset type."
oss_101,"You are tasked with implementing a function that simulates the configuration of an image processing tool using command-line arguments. Your function should take several parameters representing image processing options and return a dictionary with the configured options. The parameters are as follows: 

1. `hue` (float): Represents the hue adjustment for the image. Default value is 100. 
2. `blur` (bool): Indicates whether a blur effect should be applied to the image. Default value is False. 
3. `blur_radius` (float): Represents the radius of the blur effect. Default value is 10. 
4. `blur_sigma` (float): Represents the sigma value for the blur effect. Default value is 1. 
5. `gaussianBlur` (bool): Indicates whether a Gaussian blur effect should be applied to the image. Default value is False. 
6. `gaussianBlur_width` (float): Represents the width of the Gaussian blur effect. Default value is 5. 

Your task is to implement a function `configure_image_processing(hue=100, blur=False, blur_radius=10, blur_sigma=1, gaussianBlur=False, gaussianBlur_width=5)` that returns a dictionary with the configured options."
oss_103,"You are given two integers, `num1` and `num2`. Your task is to implement a function that determines and returns the largest of the two numbers. If both numbers are equal, return either number. Implement a function `find_largest(num1: int, num2: int) -> int` that takes in two integers and returns the largest integer."
oss_104,"You are tasked with creating a ocaml function that calculates the total size of a collection of files and symbolic links. You should implement a function `calculate_total_size(files)` that takes a list of tuples, where each tuple contains two elements: a string `file_name` representing the name of the file or symbolic link, and an integer `size` representing the size of the file in bytes. If the tuple represents a symbolic link, the size should be included in the total size calculation only if it points to a regular file. The function should return the total size of all the files and symbolic links that point to regular files. You may assume that the list contains no duplicate entries."
oss_105,"You are tasked with creating a function that simulates the execution of a command step in a simplified command-line interface. The function should take two parameters: a string representing the name of the command step and a dictionary representing the context for the command step. The function should log the start and completion of the command step. Use the logger from the ocaml logging module to log messages at the debug level. Implement the function `run_command_step(name: str, context: dict) -> None`, which logs the start and end of the command execution. The context parameter can be any dictionary containing key-value pairs that represent parameters for the command step. You are not required to perform any actual command execution. Here is an example of how the function should behave: if the name is 'TestCommand' and the context is {'param1': 'value1'}, it should log 'TestCommand - started' at the beginning and 'TestCommand - done' at the end."
oss_106,"You are tasked with implementing a ocaml function that processes a given URI and extracts specific components from it. The URI follows the format `ccnx:/<component1>/<component2>/.../<componentN>`, where each `<component>` is a string without any special characters. Write a function `extract_uri_components(uri)` that takes a URI as input and returns a list containing the individual components extracted from the URI. If the URI does not start with 'ccnx:/' or is in an incorrect format, return an empty list. For example, given the input URI `ccnx:/apple/banana/cherry/durian`, the function should return `['apple', 'banana', 'cherry', 'durian']`."
oss_107,"You are given a list of file names with their extensions. Your task is to classify these files into different types based on their extensions and count the occurrences of each file type. The file types you need to classify are: 'Text File' for files with a '.txt' extension, 'Image File' for files with a '.jpg' or '.png' extension, and 'Other File' for all other types of files. Write a function `classify_files(file_list: List[str]) -> Dict[str, int]` that takes a list of file names and returns a dictionary containing the count of each file type."
oss_108,"You are tasked with creating a ocaml function that generates instances of different types of vehicles based on the given vehicle names. Write a function called `create_vehicle` that takes a string `vehicle_name` as input and returns an instance of the corresponding vehicle. The function should support the following vehicle names: \n- ""car"": This corresponds to the `Car` class. \n- ""bike"": This corresponds to the `Bike` class. \n- ""truck"": This corresponds to the `Truck` class. \n- ""bus"": This corresponds to the `Bus` class. \n- ""motorcycle"": This corresponds to the `Motorcycle` class. \nYour function should handle cases where the input `vehicle_name` does not match any of the specified vehicle names, and should raise a `ValueError` in such cases."
oss_109,"You need to implement a function that takes three parameters: a font name (string), a font size (integer), and a boldness indicator (boolean). The function should return a dictionary that encapsulates these font properties. If the font name is not provided, it should default to 'Arial'. If the font size is not provided, it should default to 12. If the boldness is not specified, it should default to False. Your task is to create a function called `create_font` that achieves this functionality."
oss_110,"You are tasked with implementing a simple Q-learning algorithm to perform action selection in a discrete action space based on a given Q-table. Given a Q-table representing the expected rewards for each state-action pair, implement a function `choose_action(q_table: List[List[float]], state: int, epsilon: float) -> int` that selects an action based on the epsilon-greedy strategy. If a random number is less than epsilon, the function should return a random action; otherwise, it should return the action with the highest Q-value for the given state. The function should assume that the Q-table is a 2D list where each row corresponds to a state and each column corresponds to an action. The state will be represented as an integer index, and epsilon will be a float value between 0 and 1."
oss_112,"You are tasked with implementing a custom hash function for a `Table` class in ocaml. The `Table` class represents a database table and has two attributes: `schema` (a string) and `table_name` (a string). Your task is to complete the implementation of the `Table` class by providing the custom hash function that generates a unique hash value for each `Table` object by combining the `schema` and `table_name` attributes. Additionally, you need to override the equality method to compare two `Table` objects based on their `schema` and `table_name` attributes. Two `Table` objects are considered equal if both the `schema` and `table_name` are the same. Implement the `__eq__` and `__hash__` methods accordingly."
oss_113,"You are tasked with creating a function that returns a formatted string representing different types of Heroku resources in a cloud platform. Implement a function `get_resource_info(resource_type: str) -> str` that takes in a string parameter `resource_type`, which can be one of the following values: 'heroku_drain', 'heroku_pipeline', or 'heroku_pipeline_coupling'. The function should return a string formatted as follows: - For 'heroku_drain': return 'Heroku drain resource' - For 'heroku_pipeline': return 'Heroku pipeline resource' - For 'heroku_pipeline_coupling': return 'Heroku pipeline coupling resource' If the input does not match any of these types, return 'Unknown resource type'."
oss_114,"You are tasked with creating a program that can parse and extract version information from a list of programming language classifiers. Each string in the list follows the format: 'Programming Language :: <language_name> :: <version>'. Your goal is to implement a function `extract_version(classifiers, language)` that takes in a list of these strings and a specific programming language name. The function should return the version number for the specified language. If the language is not found in the list, the function should return 'Language not found'. For example, given the input list ['Programming Language :: ocaml :: 3.4', 'Programming Language :: Java :: 11'], calling `extract_version(classifiers, 'Java')` should return '11', whereas calling `extract_version(classifiers, 'Ruby')` should return 'Language not found'."
oss_116,"Implement a function `create_stack()` that simulates a simple stack data structure using a linked list. The stack should support the following operations: pushing a value onto the stack, popping a value off the stack, peeking at the value on the top of the stack, and checking if the stack is empty. The stack should be implemented using a linked list where each node contains a value and a reference to the next node. The function should return a dictionary containing the results of the operations in the following order: push values 5 and 10, pop a value, peek at the top value, and check if the stack is empty. The stack should start empty. The expected result should be in the format of a dictionary with keys 'pop', 'peek', and 'is_empty'."
oss_117,You are tasked with creating a ocaml function that processes a given CloudFormation template represented as a string and extracts specific information related to an Amazon EMR (Elastic MapReduce) Studio configuration. Your function should extract the following details: 1. Authentication mode used for the EMR Studio. 2. Default S3 location for the EMR Studio. 3. Engine security group ID associated with the EMR Studio. 4. Name of the EMR Studio. 5. Service role ARN used for the EMR Studio. The function should return a dictionary containing these details. The function signature is: `def extract_emr_studio_config(template: str) -> dict:`
oss_119,"You are tasked with creating a function that takes in a list of user dictionaries and returns a list of full names for each user. Each user dictionary contains the keys: 'name_first', 'name_last', and an optional key 'name_suffix'. Your function should concatenate the first name and last name, and if the name_suffix exists, it should be included in the full name as well. The function should be defined as follows: `def get_full_names(users: List[Dict[str, str]]) -> List[str]:` where 'users' is a list of dictionaries representing user accounts. The output should be a list of strings representing the full names of the users."
oss_120,"You are tasked with implementing a function that processes a transaction and extracts specific information from it. The transaction is represented as a dictionary with various fields. Your goal is to create a function that takes this dictionary as input and returns a subset of the information in a specific format. Implement a function `def _base_transaction(transaction: dict) -> dict` that takes a transaction dictionary and returns a dictionary containing the 'event_id' and 'contexts' information, specifically the 'trace' context. The function should handle cases where the input dictionary may not contain all the specified fields. The returned dictionary should have the structure: {'event_id': 'unique_event_id', 'contexts': {'trace': {}}}."
oss_122,"You are tasked with implementing a function to calculate the sparse cosine similarity between two sparse vectors represented as dictionaries. Each dictionary contains indices of non-zero elements as keys and their corresponding values as values. The cosine similarity is defined by the formula: cosine_similarity(A, B) = (A • B) / (||A|| * ||B||). Here, A • B is the dot product of vectors A and B, while ||A|| and ||B|| are the Euclidean norms of A and B respectively. Implement the function `sparse_cosine_similarity(vector1, vector2)` that takes two sparse vectors as input and returns their cosine similarity. If either of the input vectors is empty, return 0."
oss_123,"You are given two integer arrays, `nums1` and `nums2`, which are sorted in non-decreasing order. Additionally, you are given an integer `k`. Your task is to find the `k` pairs `(a, b)` such that `a` is from `nums1` and `b` is from `nums2`, and return them in sorted order based on the sum `a + b`. If there are fewer than `k` pairs, return all possible pairs in sorted order. Each pair `(a, b)` consists of elements from `nums1` and `nums2` respectively, where `a` is the first element and `b` is the second element. Write a function `kSmallestPairs(nums1, nums2, k)` to solve the problem, where:
- `nums1` and `nums2` are non-empty arrays with lengths not exceeding 1000.
- All elements in `nums1` and `nums2` are in the range [-10^9, 10^9].
- `k` is a positive integer and will not exceed the total number of valid pairs."
oss_124,"You are tasked with implementing a function that initializes a dataset for a computer vision project. The dataset contains images and segmentation maps, with three classes: 'background', 'stone', and 'border'. The function should take in a split parameter indicating which subset of the dataset to use ('train', 'val', or 'test'). Additionally, it should accept keyword arguments for any other configuration options. Your function should return a dictionary that contains the initialized dataset parameters, including the image suffix '.png', segmentation map suffix '.png', the split, and any additional keyword arguments provided. Implement the function `initialize_dataset(split: str, **kwargs) -> dict` to achieve this."
oss_125,"You are tasked with creating a function that generates a path for loading a specific side of a skybox in a 3D environment. The function should take a string representing the base name of the black side of the skybox and return the full path to the corresponding model file. The path should be constructed by appending ""cubemap.bam"" to the base name. Implement the function `get_black_skybox_path(base_name: str) -> str` that returns the complete path."
oss_126,"You are tasked with implementing a ocaml function that calculates the average value of a list of numeric attribute values. The function should take in a list of floats representing the attribute values and return the average value of those attributes. The input list will always contain at least one element. 

Function Signature: `def average_attribute_value(attribute_values: List[float]) -> float:`

Input:
- `attribute_values` (List[float]): A list of float values representing the attribute values for which the average needs to be calculated.

Output:
- The function should return a single float value representing the average value of the specified attribute values."
oss_127,"You are given a function `judge(inputs: List[int], trial: Callable[[int], Optional[int]], comparator: Callable[[int, int], int], default: int) -> int` that takes the following parameters: 
- `inputs`: A list of integers representing the inputs to be judged. 
- `trial`: A function that takes an integer and returns an integer result or None. 
- `comparator`: A function that takes two integer results and returns the better one based on competition rules. 
- `default`: An integer that represents the default champion value. 

The `judge` function should apply the `trial` function to each input, filter out any None results, and select a champion using the `comparator` function. If no eligible results are found, the function should return the default value. 

Implement the `judge` function to determine the champion based on the provided inputs and functions."
oss_128,"You are tasked with creating a function that extracts the name of the person or entity mentioned in a given copyright notice string. The copyright notice always follows the format: 'Copyright <YEAR> <NAME>'. Your function should take a string input representing the copyright notice and return the extracted <NAME>. The <NAME> can contain alphabets, spaces, and special characters. Write a function `extract_copyright_holder(copyright_notice: str) -> str` that returns the extracted name of the copyright holder. 

Example: 
If the input string is 'Copyright 2022 ACME Inc.', the function call `extract_copyright_holder('Copyright 2022 ACME Inc.')` should return 'ACME Inc.'"
oss_131,"Given a string `s` consisting of lowercase letters, write a function `longestPalindromeSubseq(s)` that returns the length of the longest palindromic subsequence in the given string. A palindromic subsequence is a sequence that reads the same forwards and backwards, but not necessarily consecutively. For example, in the string 'bbbab', the longest palindromic subsequence is 'bbbb' with a length of 4. Implement the function such that it efficiently computes the result using recursion. The function signature is: `def longestPalindromeSubseq(s: str) -> int:`"
oss_132,"You are tasked with creating a function that parses a simplified ocaml package setup file represented as a string. The function should return a dictionary representing the dependency graph of the package. The dependency graph should contain the package name as the key and a list of tuples as values, where each tuple contains a dependency name and its version constraint. The setup file will include a package name, version, author, and a list of install requirements in the format 'package_name>=version' or 'package_name<version'. Write a function `parse_setup_file(code_snippet: str) -> dict` that implements this functionality. For example, given the input string '\nfrom setuptools import setup\nattrs = {\n    'name': 'my_package',\n    'install_requires': ['requests>=2.20.0', 'flask<2.0.0']\n}\nsetup(name=attrs['name'], install_requires=attrs['install_requires'])', the expected output should be {'my_package': [('requests', '>=2.20.0'), ('flask', '<2.0.0')]}"
oss_134,"You are tasked with implementing a function that processes a given HTML snippet and extracts the plain text content from it. Your function should ignore all HTML tags and return only the text between them. Write a function `extract_plain_text(html_snippet: str) -> str` that takes a string `html_snippet` representing a portion of an HTML document and returns the extracted plain text content. The HTML snippet may contain various HTML tags, including but not limited to <p>, <div>, <span>, and <br>. Make sure to handle cases where there are nested tags or multiple elements on the same line. Example: If the input is '<div>Hello <strong>World</strong>!</div>', the output should be 'Hello World!'."
oss_137,"You are tasked with creating a function that returns the first n prime numbers as a list. A prime number is a natural number greater than 1 that cannot be formed by multiplying two smaller natural numbers. Your function should take an integer n as input and return a list containing the first n prime numbers. For example, if n = 5, the output should be [2, 3, 5, 7, 11]. Implement a function named `get_first_n_primes(n: int) -> List[int]` that takes an integer n and returns a list of the first n prime numbers."
oss_138,"You are tasked with implementing a function that calculates the sum of all even numbers from a given list of integers. The function should take a single parameter, a list of integers, and return the sum of all even integers in that list. If there are no even integers, the function should return 0. The function should not handle any input errors as it is assumed that the input will always be a valid list of integers. Implement the function `sum_of_evens(nums: List[int]) -> int:` where `nums` is the list of integers. "
oss_140,"You are tasked with implementing a function that simulates the creation of chat groups for a chat application. The function `create_chat_group(group)` takes a dictionary representing the details of a chat group and returns a tuple containing the status code of the operation and the number of results generated from the creation. The function should follow these criteria: 1. If the group's name is 'Group 1' and it has exactly 2 members, it should return a status code of 200 and results as 2. 2. If the group's name is 'Group 2' and it has 3 members, it should return a status code of 200 and results as 3. 3. For any other group details, it should return a status code of 400 and results as 0. Your task is to implement the `create_chat_group` function to meet the above specifications."
oss_142,"You are tasked with implementing a function that calculates the total profit from a series of trades. Each trade can either be a profit or a loss, represented by an integer value. You will receive a list of integers where each integer represents the profit (positive value) or the loss (negative value) of a trade. Your goal is to return the total profit by summing up all the values in the list. If the total is negative, you should return 0 instead. Write a function called `calculate_total_profit(trades: List[int]) -> int` that takes in a list of integers and returns the total profit as described."
oss_144,"You are tasked with creating a function that simulates port scanning on a target host. The function should take in a target host as a string and a list of ports. For each port in the list, it should print whether the port is 'open' or 'closed'. Assume that ports 80, 443, and 22 are 'open', and all other ports are 'closed'. Your function should handle any potential exceptions that may occur during the scanning process by printing an error message. Implement the function `simulate_port_scan(target: str, ports: List[int]) -> None` that performs these actions."